name,T1,Period,Perioderror,incl,inclerror,q,qerror,f,ferror,t2t1,t2t1error,relteff,reltefferror,colat,colaterror,long,longerror,radius,radiuserror,r1,r2,R^2,sma,smaerror,M1,M1error,M2,M2error,R1,R1error,R2,R2error,L1,L1error,L2,L2error
TIC 261105201,6063,0.95612,0.00013,75.15636,1.07736,0.12797,0.00222,0.25776,0.05609,0.91616,0.00713,0.72815,0.03541,151.59858,44.27967,-52.30167,153.7791,18.38564,11.23147,0.56919,0.2311,0.9988,5.81248,0.08282,2.79468,0.09897,0.35764,0.01266,3.19175,0.05999,1.2959,0.02436,11.8148,0.1968,1.47718,0.05858
TIC 261981997,5726,0.89027,0.00026,77.09161,0.49684,0.10495,0.00303,0.73429,0.06881,1.03349,0.01044,0.88778,0.07693,155.885,16.92627,-115.35006,27.79018,24.04512,12.63767,0.59846,0.23577,0.9992,5.63267,0.103,2.68143,0.0717,0.28142,0.00752,3.51539,0.11731,1.38493,0.04622,13.98349,0.96259,1.97348,0.19715
TIC 265015162,5787,0.32776,0.0001,83.41518,1.20393,0.11839,0.00397,0.66877,0.07135,1.06995,0.01169,0.84272,0.06655,26.10692,7.28285,-203.78266,4.78154,23.9356,5.86316,0.58851,0.24232,0.9972,2.3466,0.02629,1.44133,0.02178,0.17064,0.00258,1.38696,0.0077,0.57108,0.00317,1.9004,0.01837,0.4234,0.00251
TIC 266769521,6102,0.53662,0.00033,88.01155,2.845,0.32217,0.01998,0.15443,0.10885,0.92961,0.03733,0.75565,0.09259,40.74739,50.82555,-348.87705,108.92677,28.1953,3.13244,0.49026,0.29546,0.994,3.50574,0.04673,1.4707,0.04128,0.47382,0.0133,1.69035,0.03461,1.01871,0.02086,3.52686,0.06884,0.97048,0.02211
TIC 266769522,7065,0.53658,0.0004,85.34241,2.18492,0.31075,0.01235,0.08723,0.18133,0.90366,0.00532,0.7903,0.03375,157.1406,3.18514,-353.92687,1.05116,48.53009,1.26616,0.48953,0.28834,0.9813,3.48428,0.04934,1.58378,0.04993,0.49216,0.01552,1.67731,0.01771,0.98796,0.01043,5.89558,0.13235,1.44884,0.01714
TIC 267043786,6720,0.59471,0.00012,82.45141,0.09528,0.30408,0.0007,0.21319,0.00582,0.96725,0.00251,0.82009,0.03132,101.39686,6.54794,-180.86058,0.35648,17.24628,1.81594,0.49843,0.29446,0.9981,3.8643,0.07025,1.55369,0.11208,0.47245,0.03408,1.95303,0.016,1.1538,0.00945,6.85843,0.08868,2.15515,0.02921
TIC 268686130,7836,0.46645,0.00025,82.68485,0.56843,0.17469,0.00163,0.2462,0.02451,0.96644,0.00809,0.76214,0.11673,77.29097,51.65562,-159.22632,21.70284,7.16655,3.318,0.54473,0.25293,0.9794,3.10162,0.0284,1.64069,0.0263,0.28661,0.00459,1.71124,0.01603,0.79457,0.00744,9.21591,0.18554,1.8801,0.03092
TIC 271495349,6688,0.55112,0.00014,86.64298,0.40936,0.43004,0.00237,0.37482,0.01113,1.00128,0.00133,0.88281,0.12022,86.86002,70.39545,-264.18756,104.59661,4.24612,4.5087,0.48101,0.33582,0.9999,3.58194,0.10471,1.32384,0.13568,0.56931,0.05835,1.83264,0.01158,1.27947,0.00809,5.91941,0.04106,2.90462,0.02928
TIC 274676647,6338,0.35437,7.00E-05,86.02837,0.51979,0.30347,0.00208,0.2279,0.01335,1.02206,0.00192,0.90986,0.06009,140.64761,17.79532,-72.1542,8.70084,19.51187,8.98283,0.49942,0.29522,0.9997,2.49327,0.06914,1.63411,0.202,0.4959,0.0613,1.17646,0.02196,0.69543,0.01298,1.91208,0.07376,0.76463,0.02215
TIC 274967957,5774,0.40094,0.00019,84.89982,0.55504,0.26139,0.00367,0.12266,0.01998,0.97089,0.00473,0.64334,0.05835,46.18286,9.76921,-300.97471,3.32687,17.58745,1.95083,0.50621,0.27697,0.9981,2.72969,0.09578,1.47684,0.05333,0.38603,0.01394,1.27498,0.04652,0.6976,0.02545,1.66475,0.04346,0.36328,0.03385
