name,T1,incl,inclerror,q,qerror,f,ferror,t2t1,t2t1error,l3,l3error,R^2
TIC 434097226,5908,87.817,1.23,0.255,0.002,0.124,0.009,0.959,0.003,0.011,0.009,0.999
TIC 434508647,7034,85.456,3.531,0.324,0.028,0.208,0.033,0.86,0.005,0.121,0.058,0.998
TIC 436660156,5316,81.663,2.107,0.287,0.027,0.569,0.049,1.02,0.004,0.195,0.046,0.998
TIC 339637059,6135,84.141,3.686,0.135,0.017,0.605,0.117,0.984,0.008,0.287,0.077,0.985
TIC 343409837,6101,87.707,2.164,0.116,0.004,0.595,0.211,1.038,0.008,0.09,0.062,0.997
TIC 348897766,6238,80.072,1.075,0.231,0.014,0.367,0.026,1.017,0.003,0.039,0.039,0.999
TIC 354115226,5412,87.566,1.796,0.263,0.029,0.264,0.101,0.951,0.008,0.142,0.056,0.994
TIC 356192212,7043,87.663,2.39,0.12,0.004,0.523,0.057,0.809,0.005,0.024,0.021,0.996
TIC 359987981,5856,88.343,1.652,0.103,0.006,0.744,0.094,1.028,0.014,0.187,0.057,0.999
TIC 364325969,5679,82.783,1.067,0.249,0.01,0.164,0.021,1.054,0.003,0.029,0.022,0.997
TIC 365034219,5503,88.47,1.103,0.212,0.003,0.664,0.027,1.082,0.012,0.006,0.006,0.995
TIC 36729364,5337,86.973,1.475,0.247,0.008,0.452,0.045,1.025,0.003,0.044,0.024,0.997
TIC 372127422,7218,83.911,1.21,0.202,0.033,0.644,0.09,0.994,0.024,0.069,0.099,0.996
TIC 377296926,6501,84.531,2.188,0.269,0.017,0.97,0.032,1.018,0.005,0.313,0.028,0.999
TIC 380670111,6306,85.482,2.963,0.142,0.013,0.399,0.095,1.025,0.009,0.173,0.057,0.996
TIC 38707340,7113,83.379,4.589,0.237,0.048,0.35,0.1,0.98,0.014,0.325,0.107,0.994
TIC 387513120,5227,80.223,3.01,0.186,0.016,0.545,0.184,1.056,0.011,0.107,0.056,0.998
TIC 387586260,6477,87.977,1.789,0.29,0.009,0.82,0.032,0.961,0.002,0.161,0.018,0.998
TIC 392536812,6612,85.142,2.512,0.146,0.01,0.866,0.08,1.028,0.011,0.34,0.036,0.999
TIC 199612934,7092,86.255,2.316,0.109,0.007,0.538,0.131,0.966,0.019,0.135,0.052,0.999
TIC 204325855,6524,84.919,1.5,0.37,0.018,0.23,0.022,1.005,0.002,0.248,0.023,1
TIC 211412634,6496,82.47,1.833,0.208,0.046,0.324,0.127,0.972,0.003,0.105,0.106,0.999
TIC 219738202,6904,82.83,0.68,0.32,0.01,0.585,0.026,0.963,0.004,0.087,0.021,0.998
TIC 233233639,7213,85.577,1.757,0.13,0.007,0.27,0.069,0.916,0.012,0.14,0.031,0.998
TIC 233636431,6896,84.027,0.853,0.25,0.007,0.258,0.017,1,0.003,0.024,0.019,0.999
TIC 237130278,7080,85.778,2.566,0.234,0.017,0.772,0.047,1.002,0.003,0.296,0.039,0.995
TIC 240911239,5760,84.777,2.05,0.271,0.016,0.312,0.031,1.013,0.003,0.055,0.035,0.988
TIC 250114673,6200,78.526,2.219,0.157,0.021,0.756,0.051,1.034,0.003,0.338,0.056,0.999
TIC 250203533,5733,84.169,1.084,0.192,0.008,0.544,0.025,1.042,0.001,0.109,0.025,0.999
TIC 255682622,6103,85.006,3.636,0.113,0.007,0.801,0.052,1.095,0.015,0.203,0.042,0.992
TIC 256797617,4934,88.946,0.867,0.318,0.022,0.402,0.092,1.006,0.02,0.01,0.012,0.994
TIC 257525627,6563,81.213,1.351,0.225,0.014,0.666,0.049,1.009,0.003,0.088,0.042,0.988
TIC 257625332,6621,84.439,1.564,0.268,0.014,0.547,0.026,0.983,0.004,0.135,0.029,1
