name,T1,Period,Perioderror,incl,inclerror,q,qerror,f,ferror,t2t1,t2t1error,relteff,reltefferror,colat,colaterror,long,longerror,radius,radiuserror,l2/l1,r1,r2,R2,sma,smaerror,M1,M1error,M2,M2error,R1,R1error,R2,R2error, L1,L1error,L2,L2error
TIC 140757590,6189,0.41844,0.00029,83.20914,0.82533,0.1824,0.00354,0.60085,0.03551,1.00628,0.00543,0.78449,0.12267,65.56701,78.71284,-48.80383,138.85984,9.98733,9.45763,0.2393,0.55664,0.2741,0.9929,2.85682,0.0712,1.77988,0.33234,0.32465,0.06062,1.73273,0.23651,0.85323,0.11646,8.80951,7.16944,2.10812,1.71565
TIC 141871560,7092,0.63001,0.00018,82.36809,0.44254,0.16839,0.00129,0.6137,0.02586,0.9921,0.00577,0.90999,0.04927,45.94111,59.75348,-220.93087,14.96041,19.50701,6.33923,0.21489,0.56271,0.26807,0.9909,4.05941,0.09076,1.07864,0.67697,0.18163,0.114,2.11325,0.15145,1.00673,0.07215,13.36103,4.37732,2.87115,0.94064
TIC 142587827,6721,0.43929,9e-05,83.92888,0.67346,0.15642,0.00089,0.5036,0.0179,0.99824,0.00305,0.73307,0.19739,91.98762,15.11347,-192.81541,72.03128,2.76892,12.7307,0.20174,0.56336,0.2567,0.9991,2.97462,0.07363,3.08297,0.90743,0.48224,0.14194,1.80142,0.18226,0.82083,0.08305,7.859,4.05293,1.58547,0.81764
TIC 142625736,6277,0.45549,0.00011,89.11663,0.63573,0.26155,0.0045,0.44849,0.01796,1.00534,0.00329,0.90461,0.1005,166.95947,81.50145,-92.09352,148.45508,27.02159,20.9849,0.31963,0.52327,0.29632,0.9872,3.06647,0.07578,1.84027,0.57398,0.48132,0.15012,1.57958,0.0673,0.89449,0.03811,3.97978,0.56995,1.27206,0.18217
TIC 143058907,7323,0.60079,0.00013,81.90503,1.24886,0.08056,0.00216,0.44569,0.08538,0.93964,0.00217,0.69772,0.10132,157.2177,35.74027,-171.67283,16.04885,6.88296,4.98681,0.09213,0.60778,0.20678,0.9956,3.8914,0.0876,2.19303,0.3689,0.17667,0.02972,2.37247,0.14685,0.80717,0.04996,9.15614,3.7711,0.84355,0.34743
TIC 428257299,4960,0.63842,0.00031,84.18376,3.40891,0.11678,0.00557,0.25753,0.10883,0.8432,0.02083,0.73611,0.0701,159.6695,15.13587,-335.60752,170.06487,36.14688,16.04725,0.08199,0.57607,0.22482,0.9948,4.10703,0.09102,2.38111,0.34762,0.27807,0.0406,2.22903,0.20321,0.86991,0.07931,1.48425,0.94384,0.12169,0.07739
TIC 432128410,5734,1.16556,0.00016,80.0622,0.98563,0.15734,0.00873,0.19842,0.28613,0.90941,0.05825,0.81327,0.1032,31.0865,16.39996,-349.9201,58.9969,26.72454,3.74148,0.13937,0.55109,0.24309,0.9937,7.10251,0.14653,3.38945,0.74813,0.5333,0.11771,4.27829,0.17231,1.88719,0.07601,10.24825,4.26469,1.4283,0.59437
TIC 434097226,5908,0.44564,0.00028,83.35494,5.91953,0.24811,0.05357,0.21532,0.15324,0.95284,0.01762,0.62335,0.03842,37.07888,19.35309,-306.4343,93.80099,16.43742,3.86132,0.24659,0.51522,0.2782,0.9975,3.00973,0.07327,1.29068,0.45313,0.32023,0.11243,1.33527,0.11894,0.721,0.06422,0.77404,0.76371,0.19087,0.18832
TIC 434508647,7034,0.7466,0.00027,79.24844,2.49288,0.26364,0.05704,0.08968,0.14318,0.87046,0.02417,0.7218,0.07394,147.59983,29.45117,-338.5311,6.60918,34.78064,9.19246,0.18375,0.5038,0.27573,0.9967,4.7227,0.10238,2.8345,0.43011,0.74729,0.1134,2.36467,0.10381,1.29418,0.05682,16.98898,4.87481,3.12172,0.89575
TIC 436660156,5316,0.4149,9e-05,76.98712,0.44139,0.20987,0.00327,0.39246,0.02968,1.01838,0.00303,0.88259,0.13264,95.35314,66.02045,-205.2737,90.35161,4.32888,5.37524,0.27509,0.53697,0.27461,0.9981,2.83592,0.07212,0.93885,0.36579,0.19704,0.07677,1.44049,0.09989,0.73667,0.05108,0.68031,0.35666,0.18715,0.09811
TIC 43712632,6137,0.92543,0.00019,86.41375,1.65695,0.25291,0.01193,0.10647,0.03181,0.9034,0.01355,0.80327,0.05119,52.9687,8.84086,-349.61446,1.69909,30.32099,3.37162,0.20366,0.50818,0.27351,0.9981,5.73894,0.11935,3.7067,0.58655,0.93746,0.14834,3.50756,0.1861,1.88782,0.10016,17.0028,2.85008,3.46279,0.58045
TIC 43864479,6097,0.59475,0.00015,82.33806,0.39228,0.17623,0.00144,0.47908,0.02086,1.00314,0.00289,0.87212,0.11348,89.14694,65.10773,-162.64346,69.79195,4.22012,4.24987,0.22616,0.55378,0.265,0.9977,3.85861,0.08603,1.06584,0.4781,0.18783,0.08426,1.71874,0.18647,0.82247,0.08923,8.64678,2.38302,1.95556,0.53894
TIC 439596199,5810,0.49332,8e-05,75.03731,0.05354,0.10811,0.00123,0.10824,0.02246,0.91717,0.00458,0.6436,0.04237,135.67727,42.71575,-181.35465,126.1892,3.02122,2.80035,0.10045,0.57737,0.21412,0.9958,3.28139,0.07773,4.13373,2.03536,0.4469,0.22004,2.08187,0.20051,0.77207,0.07436,11.91626,7.59349,1.19699,0.76277
TIC 441200647,5889,1.1532,0.00277,83.43657,0.73435,0.10754,0.00827,0.35819,0.03633,0.99291,0.02093,0.7295,0.08431,26.86901,66.05375,-0.27753,98.1478,13.86645,3.26305,0.1389,0.58523,0.22304,0.9984,7.03569,0.14404,3.47352,1.14454,0.37354,0.12308,3.94607,0.23854,1.50391,0.09091,17.35591,4.42798,2.41074,0.61505
TIC 445829772,5807,0.41031,7e-05,87.84692,1.40182,0.26685,0.00886,0.25275,0.03098,1.02207,0.01399,0.92481,0.10059,46.71088,50.1073,-353.69686,178.30198,26.0863,7.52944,0.33445,0.51124,0.28621,0.9962,2.80854,0.07156,0.85838,0.22163,0.22906,0.05914,1.11372,0.13813,0.6235,0.07733,1.07505,1.06249,0.35955,0.35535
TIC 450637853,7039,0.49694,0.00013,79.45537,4.19719,0.15364,0.00696,0.12899,0.1579,0.933,0.03921,0.72446,0.08751,145.07332,49.75728,-31.43109,170.26654,20.82074,5.01415,0.14742,0.55039,0.23831,0.9757,3.30187,0.07879,1.12056,0.19458,0.17216,0.02989,1.3357,0.22496,0.57834,0.0974,2.34634,2.83675,0.3459,0.41819
TIC 452819172,7403,0.41218,7e-05,75.02738,0.03129,0.14262,0.00137,0.10756,0.01703,0.95382,0.00277,0.68161,0.06708,170.53192,13.62831,-173.92078,59.15328,3.96792,3.57557,0.15214,0.55558,0.23228,0.9939,2.82094,0.07287,0.75547,0.3043,0.10775,0.0434,1.554,0.13145,0.6497,0.05496,3.85109,3.52803,0.58591,0.53675
TIC 453097744,5684,1.05639,0.00018,77.60557,1.59291,0.19399,0.00713,0.13289,0.09947,0.92414,0.01356,0.94227,0.03109,94.12156,10.09258,-354.1283,38.19784,27.91658,4.41171,0.17538,0.53157,0.2551,0.9738,6.48154,0.13557,1.99843,0.74644,0.38768,0.1448,3.13508,0.30951,1.50452,0.14853,9.41989,7.8667,1.65206,1.37966
TIC 392536812,6612,0.5907,0.0004,75.20165,0.49421,0.08535,0.0018,0.54161,0.06166,1.02104,0.00947,0.88548,0.09562,65.52598,29.13826,-154.94851,14.20467,8.76389,3.54785,0.13002,0.60639,0.21379,0.9986,3.83502,0.08713,1.04904,0.55081,0.08954,0.04701,2.33247,0.13978,0.82234,0.04928,3.36,2.42785,0.43687,0.31567
TIC 393943031,6425,0.44987,0.0001,80.49719,0.25681,0.15173,0.00154,0.41683,0.01667,1.00159,0.00205,0.78227,0.15239,175.00525,12.1558,-150.0858,68.61174,20.38385,13.05704,0.19488,0.56218,0.25032,0.9989,3.03418,0.07523,1.41275,0.31875,0.21436,0.04836,1.52179,0.09739,0.6776,0.04336,6.06413,3.73326,1.18178,0.72754
TIC 398336271,6010,0.53651,9e-05,81.36299,1.24561,0.12202,0.00305,0.29773,0.06192,0.9909,0.01358,0.77958,0.1374,137.76707,43.17311,-173.78401,64.40429,8.31464,7.44188,0.15343,0.57408,0.22941,0.9949,3.52895,0.08322,0.75539,0.43725,0.09217,0.05335,1.49303,0.23517,0.59664,0.09398,7.38985,2.71356,1.13382,0.41634
TIC 399577123,5452,0.31192,0.0001,82.14392,1.92176,0.14668,0.02406,0.52853,0.04321,1.04809,0.00969,0.85168,0.06263,114.30257,15.1493,-75.86049,7.11312,17.26415,2.26501,0.22408,0.56888,0.25282,0.9985,2.24946,0.06505,1.4421,0.46989,0.21153,0.06892,1.13759,0.14912,0.50556,0.06627,0.5016,0.53074,0.1124,0.11893
TIC 400360028,6069,0.97312,0.00015,80.99033,0.88798,0.06953,0.0046,0.54346,0.0585,1.00076,0.02869,0.72316,0.11333,33.92717,29.64534,-2.15719,76.61755,11.02752,4.01872,0.10241,0.61982,0.20031,0.9907,6.01113,0.12518,1.82318,0.49648,0.12677,0.03452,3.12455,0.49847,1.00977,0.16109,5.63857,6.65515,0.57745,0.68155
TIC 401925979,6928,0.47997,0.00028,79.81872,0.5689,0.16681,0.00249,0.12173,0.01606,0.93666,0.00476,0.95136,0.04754,135.53093,18.37243,-1.60819,1.33025,31.92311,4.71142,0.16357,0.54346,0.24373,0.9898,3.20508,0.0771,3.54452,0.84113,0.59126,0.14031,2.05013,0.26497,0.91944,0.11883,14.36333,5.34637,2.34941,0.87451
TIC 401928563,5852,0.36258,7e-05,84.16075,3.15394,0.11791,0.00677,0.65124,0.0706,1.06006,0.02584,0.79039,0.09509,155.38196,20.84491,-314.40386,19.54286,32.20578,7.53104,0.19723,0.58819,0.24128,0.9944,2.53874,0.0672,2.14994,0.50444,0.2535,0.05948,1.10587,0.19697,0.45364,0.0808,9.07128,5.05822,1.78913,0.99763
TIC 402795415,6515,0.91012,0.00015,83.87175,9.06252,0.16037,0.08378,0.26734,0.20043,0.97664,0.04109,0.74692,0.13799,50.36098,16.50362,-356.65569,11.49173,14.69365,3.66134,0.18383,0.55224,0.24761,0.9965,5.65213,0.11826,3.40912,0.53664,0.54672,0.08606,2.54956,0.29293,1.14316,0.13134,12.04936,7.34379,2.21503,1.35001
TIC 406781370,6854,0.89595,0.00107,79.64872,0.51719,0.15022,0.00257,0.23004,0.0295,0.94946,0.00639,0.93119,0.02905,149.56226,11.16007,-358.76517,1.80332,43.86108,5.72022,0.15923,0.55591,0.2412,0.9959,5.57289,0.1177,2.34064,0.335,0.35161,0.05032,3.40085,0.18956,1.47557,0.08225,18.46483,4.67514,2.94016,0.74442
TIC 411451519,7035,0.60561,0.00012,80.90305,0.20699,0.21779,0.00024,0.28931,0.00314,0.98229,0.00156,0.93838,0.01914,161.57279,10.74943,-267.76752,3.35527,38.42987,11.52845,0.24723,0.52926,0.27201,0.9984,3.91968,0.08946,1.7653,0.4072,0.38446,0.08868,2.2095,0.09372,1.13556,0.04816,13.06331,3.61047,3.22964,0.89262
TIC 411704509,5316,0.75451,0.00012,84.0242,3.59365,0.18654,0.00468,0.20761,0.14827,0.85724,0.00642,0.93484,0.0187,126.28818,15.08144,-292.23517,63.02837,40.1643,13.37147,0.13017,0.53792,0.25592,0.9951,4.76558,0.10259,3.07896,0.7181,0.57435,0.13396,2.81872,0.22607,1.34103,0.10756,1.2437,1.12266,0.16189,0.14614
TIC 415969184,6759,0.94815,0.00014,81.8482,0.79396,0.13437,0.00313,0.24798,0.16828,0.95831,0.00916,0.8448,0.04679,61.19883,15.27553,-359.33379,66.67025,16.32284,4.08883,0.14924,0.56515,0.23409,0.9989,5.86694,0.12289,1.38515,0.61517,0.18612,0.08266,3.86587,0.30229,1.60128,0.12521,31.17821,14.48549,4.65304,2.16181
TIC 417052182,5899,0.31332,7e-05,84.87238,2.65727,0.1177,0.00437,0.48377,0.07089,0.99402,0.01515,0.77817,0.0909,147.96528,28.65865,-318.76805,148.68678,13.20151,10.17995,0.15512,0.58277,0.23428,0.9961,2.25656,0.06551,1.43494,0.18923,0.16889,0.02227,1.17377,0.15939,0.47187,0.06407,0.377,0.39579,0.05848,0.0614
TIC 336561759,5362,0.33948,7e-05,86.54235,1.56281,0.16439,0.00512,0.50156,0.06373,1.03662,0.01261,0.93372,0.07385,126.87978,25.44292,-69.99901,147.54664,26.02588,5.86697,0.2408,0.55973,0.26055,0.9986,2.40749,0.0664,1.47276,0.27675,0.24211,0.0455,1.14949,0.14708,0.53508,0.06846,4.40406,1.87612,1.0605,0.45177
TIC 339637059,6135,0.67695,0.00014,76.1746,0.66259,0.08713,0.00229,0.34423,0.06274,0.97668,0.0094,0.74546,0.09551,137.40608,19.29845,-309.77723,96.80923,10.67662,5.20053,0.10994,0.59978,0.20855,0.9844,4.32408,0.09605,2.38337,0.55141,0.20766,0.04804,2.5031,0.16032,0.87036,0.05574,6.39887,2.57754,0.70349,0.28337
TIC 343409837,6101,0.35235,0.00018,83.95684,0.49842,0.1052,0.00141,0.48624,0.02384,1.02784,0.00353,0.76531,0.15529,23.66586,32.10149,-237.5771,20.92003,7.68979,8.40454,0.15653,0.59066,0.22631,0.9964,2.47973,0.06719,0.74463,0.35537,0.07833,0.03739,1.62482,0.1368,0.62254,0.05241,2.83694,1.61215,0.44407,0.25235
TIC 348897766,6238,0.44213,8e-05,79.388,0.15201,0.21854,0.00113,0.34092,0.0102,1.01387,0.00158,0.74392,0.1216,104.96894,12.74279,-293.17244,10.18424,5.64127,1.30537,0.27568,0.53144,0.27509,0.9994,2.98957,0.0744,1.265,0.29329,0.27645,0.0641,1.47408,0.14037,0.76303,0.07266,1.59724,0.92584,0.44033,0.25524
TIC 354115226,5412,0.58313,0.00031,82.54238,0.51239,0.22929,0.00408,0.13955,0.02319,0.92706,0.00598,0.95234,0.00978,76.43821,9.1116,-9.94595,2.15591,33.24269,4.31689,0.20638,0.51803,0.26789,0.9942,3.79156,0.08647,3.98421,0.91254,0.91354,0.20924,2.02007,0.09835,1.04465,0.05086,0.80787,0.88897,0.16673,0.18347
TIC 356192212,7043,0.7267,0.00012,85.99597,5.9379,0.11269,0.00245,0.40711,0.20341,0.81812,0.01532,0.87949,0.0169,59.05084,14.62075,-319.60625,164.2859,24.22594,8.40489,0.07895,0.58339,0.22814,0.9955,4.6087,0.09916,2.33215,0.73656,0.26281,0.083,2.59959,0.20927,1.01659,0.08184,4.66542,5.29442,0.36833,0.41799
TIC 359987981,5856,1.06669,0.00017,82.50615,1.07874,0.08438,0.00288,0.54969,0.08371,0.99725,0.01102,0.98492,0.02796,43.31521,13.99559,-2.18711,143.13961,31.76882,15.22436,0.11885,0.60736,0.21329,0.9993,6.54074,0.13534,4.55447,1.17798,0.38431,0.0994,4.79445,0.2922,1.68369,0.10261,17.1706,7.12953,2.04073,0.84734
TIC 364325969,5679,0.42,9e-05,84.92724,0.544,0.27787,0.00265,0.13214,0.01435,1.01502,0.00233,0.82881,0.03751,114.45424,1.3842,-355.5392,0.82051,24.2296,2.12628,0.33232,0.50153,0.28228,0.9985,2.8644,0.07184,1.61091,0.26089,0.44762,0.07249,1.19718,0.22099,0.67382,0.12438,4.87656,3.28741,1.62058,1.09247
TIC 365034219,5503,0.37785,7e-05,89.24875,1.084,0.21249,0.00307,0.60153,0.02467,1.06121,0.00498,0.80546,0.04921,13.96407,6.52326,-215.65113,4.04902,38.05183,8.21189,0.33169,0.5461,0.28729,0.9955,2.62475,0.0698,1.41967,0.31867,0.30167,0.06772,1.6819,0.21118,0.88481,0.11109,7.50681,3.5619,2.48993,1.18145
TIC 36729364,5337,0.3275,0.00016,83.86513,0.59713,0.23414,0.00771,0.40906,0.05325,1.02057,0.00634,0.78073,0.06659,139.89895,22.34075,-66.9689,147.43308,26.16737,11.60175,0.30569,0.5295,0.28456,0.9966,2.33954,0.06511,0.82167,0.20715,0.19238,0.0485,1.29555,0.09957,0.69624,0.05351,1.02666,0.32409,0.31384,0.09907
TIC 372127422,7218,0.79452,0.00116,82.15666,0.40288,0.18558,0.00178,0.57981,0.02789,0.99051,0.00863,0.82837,0.04835,20.53068,65.4638,-233.75905,5.35058,25.60043,3.86678,0.23125,0.5545,0.27445,0.9962,4.9944,0.10692,1.59131,0.32721,0.29532,0.06072,3.10846,0.25676,1.53853,0.12709,14.24254,10.74505,3.29359,2.48479
TIC 377296926,6501,0.43149,8e-05,75.54209,0.32558,0.158,0.00559,0.70775,0.04158,1.01373,0.01019,0.94578,0.06888,22.40231,16.70456,-342.28426,40.46184,16.45586,7.73728,0.22082,0.57092,0.26748,0.9992,2.93051,0.07402,2.31587,0.40753,0.36591,0.06439,1.54592,0.13888,0.72427,0.06506,7.66843,4.1205,1.69334,0.90989
TIC 380670111,6306,0.28718,0.00012,78.61217,0.81387,0.10764,0.00308,0.30767,0.05103,1.03504,0.01296,0.98306,0.01539,112.52241,60.00828,-345.11345,149.24898,38.0268,18.64727,0.15865,0.58364,0.22121,0.9961,2.10956,0.06246,0.98436,0.33927,0.10596,0.03652,1.24142,0.0822,0.47052,0.03116,1.91993,1.04831,0.3046,0.16631
TIC 38707340,7113,0.56364,0.00017,75.21202,0.2783,0.13674,0.00225,0.12196,0.02863,0.96971,0.00893,0.97736,0.0267,69.48242,53.19908,-173.35035,12.97547,28.22385,13.19173,0.15368,0.55944,0.23004,0.9929,3.68115,0.08497,1.04216,0.75459,0.1425,0.10318,1.92778,0.10449,0.7927,0.04297,7.26058,2.6746,1.11581,0.41103
TIC 387513120,5227,0.30371,0.0001,81.39723,5.74946,0.16672,0.02496,0.41405,0.12295,1.05909,0.0038,0.89173,0.10034,125.18368,20.85977,-164.64519,92.36211,7.91704,6.44209,0.25435,0.55513,0.25743,0.9991,2.20289,0.06446,2.38471,0.8101,0.39758,0.13506,1.08601,0.1128,0.50362,0.05231,0.12208,0.15134,0.03105,0.03849
TIC 387586260,6477,0.88025,0.00017,80.83706,0.44562,0.22529,0.00352,0.68463,0.02025,0.95699,0.00395,0.89729,0.02676,93.53168,46.81655,-274.42681,97.34097,21.46075,6.16224,0.24851,0.54632,0.29746,0.9985,5.48453,0.11641,3.39862,0.40988,0.76567,0.09234,2.69709,0.23632,1.46851,0.12867,5.63759,2.12612,1.401,0.52836
TIC 144376560,7135,0.43856,0.00017,87.81627,1.96803,0.08642,0.00505,0.56963,0.10368,1.0824,0.01505,0.79044,0.10483,51.11979,32.78591,-266.27869,128.12233,18.33075,3.98318,0.15883,0.60631,0.21559,0.9969,2.97035,0.0742,1.70125,0.2469,0.14702,0.02134,1.86514,0.10594,0.6632,0.03767,9.60754,5.36074,1.52597,0.85145
TIC 198037139,6661,0.36013,6e-05,84.27375,0.95883,0.13507,0.00187,0.53061,0.03584,1.04243,0.00326,0.71935,0.11824,154.71317,19.9341,-57.71227,73.64456,9.67627,4.30088,0.20323,0.57474,0.24653,0.9991,2.5238,0.06746,0.79909,0.3763,0.10793,0.05083,1.14303,0.2134,0.49029,0.09154,1.97549,2.31906,0.40148,0.4713
TIC 257625332,6621,0.68078,0.00019,80.39403,0.18082,0.21728,0.00119,0.40716,0.01529,0.97546,0.00508,0.8008,0.08305,126.1975,11.89146,-174.06285,1.50596,17.30343,2.99814,0.24572,0.53505,0.27825,0.9995,4.34812,0.09519,2.19817,0.49798,0.47762,0.1082,2.64957,0.14193,1.3779,0.07381,4.57115,3.63879,1.12322,0.89412
TIC 289166536,6467,0.46892,9e-05,84.27246,0.39099,0.24164,0.00197,0.48244,0.01539,1.01382,0.00218,0.85882,0.06259,124.81576,18.11083,-294.12513,3.81775,15.23221,4.1511,0.30824,0.53092,0.29152,0.9888,3.14283,0.07585,1.10643,0.20049,0.26736,0.04845,1.77148,0.11168,0.97269,0.06132,7.70393,2.42138,2.37466,0.74637
TIC 332910986,7379,0.64297,0.00022,79.9102,0.2392,0.18127,0.00087,0.22939,0.01252,0.93276,0.0029,0.81159,0.06611,24.17021,11.10773,-195.45713,1.89289,19.83837,2.74534,0.1796,0.54112,0.25486,0.9902,4.1306,0.09148,1.20904,0.25476,0.21916,0.04618,2.34362,0.14373,1.10381,0.06769,12.26854,2.84849,2.20343,0.51159
TIC 426146826,6277,0.3969,0.00027,68.61128,0.29359,0.08999,0.00195,0.14051,0.02574,1.01386,0.00353,0.77346,0.11739,153.92348,16.61335,-71.75806,141.28067,11.78522,7.53145,0.12328,0.59211,0.2038,0.9959,2.73273,0.06953,1.01876,0.2616,0.09168,0.02354,1.44422,0.16724,0.49709,0.05756,12.82515,4.73491,1.58108,0.58372
TIC 456797644,7019,0.81914,0.00016,82.47949,0.86198,0.19264,0.00395,0.72822,0.05712,0.99369,0.00595,0.83973,0.06513,41.81124,31.99603,-182.48527,8.75648,13.06459,3.82444,0.24554,0.55881,0.28585,0.9985,5.13238,0.11005,3.33438,0.64131,0.64234,0.12354,2.76024,0.19777,1.41196,0.10117,15.36189,8.28353,3.77196,2.03394
TIC 290034099,7810,0.59182,0.00055,82.24794,0.26513,0.31908,0.00276,0.40228,0.02283,0.98035,0.00553,0.77869,0.07716,75.44518,33.26818,-243.71058,5.68472,15.9784,3.61833,0.34685,0.50565,0.3108,0.9981,3.84158,0.08604,2.50795,0.67385,0.80024,0.21501,1.98213,0.12592,1.21833,0.0774,16.88988,4.42945,5.85825,1.53635
TIC 29287800,6125,0.37654,8e-05,80.54337,0.29902,0.25364,0.00357,0.28711,0.01344,1.03319,0.00387,0.81223,0.05522,45.51883,17.22597,-301.64783,3.40171,16.96949,3.13673,0.3319,0.51709,0.28411,0.9989,2.61703,0.06948,2.38744,0.92907,0.60555,0.23565,1.58447,0.09266,0.87057,0.05091,0.929,0.70033,0.30833,0.23244
TIC 293565743,6417,0.66604,0.00014,75.05947,0.10279,0.10002,0.00172,0.21002,0.04902,0.92005,0.00831,0.91085,0.06806,95.84963,16.05629,-335.42066,176.70744,8.49911,6.41651,0.09942,0.58618,0.21283,0.9953,4.2643,0.09406,2.04847,0.3776,0.20489,0.03777,2.16922,0.27606,0.7876,0.10023,2.38699,3.18023,0.23731,0.31618
TIC 294273900,6028,0.47229,0.00011,82.30962,4.07314,0.21352,0.00399,0.31492,0.06713,1.04704,0.00468,0.90071,0.04775,16.14648,32.32841,-2.38463,3.13052,25.82123,4.64109,0.29883,0.53202,0.27182,0.9993,3.16206,0.07707,2.25966,0.41735,0.48248,0.08911,1.78784,0.13594,0.91344,0.06945,9.24788,3.68485,2.76354,1.10114
TIC 296657504,5769,0.44965,9e-05,85.25564,1.09764,0.27112,0.00295,0.18263,0.0577,1.02959,0.01139,0.8805,0.03598,154.65119,27.25117,-23.33771,23.80632,34.07722,9.00388,0.3442,0.50625,0.28333,0.9997,3.03349,0.07487,1.22959,0.21462,0.33337,0.05819,1.62971,0.13755,0.91209,0.07698,3.25509,1.53815,1.1204,0.52943
TIC 29777922,7120,0.53047,0.00047,80.02979,1.44755,0.095,0.00377,0.25997,0.09088,0.91772,0.0114,0.91523,0.10324,135.24702,40.93257,-62.24547,163.52846,15.66067,9.01482,0.09708,0.59135,0.21127,0.997,3.4929,0.08185,0.97411,0.41445,0.09254,0.03937,2.31184,0.15027,0.82594,0.05369,9.66383,6.48887,0.93817,0.62994
TIC 29848012,5535,0.34912,8e-05,85.1509,0.43992,0.32492,0.00396,0.09408,0.01331,1.03595,0.00345,0.69596,0.08142,65.85986,13.43881,-22.65909,7.8093,9.56728,1.44295,0.40989,0.48607,0.2923,0.9958,2.46109,0.06735,0.93388,0.25536,0.30344,0.08297,1.30175,0.08741,0.78281,0.05256,4.66699,1.37237,1.91295,0.56252
